"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"TheQueenBee26";"Blamoh Twegbe";"22426433";"713819305201238016";"/TheQueenBee26/status/713819305201238016";"2016-03-26 20:05:59";1459022759;"My soul sisters...and Jake (from State Farm)!  #cohort19 #stmarys… https://www.instagram.com/p/BDbdTPnPuo73bgvpuMokVHLl0P5Zf8gvcu3S500/ …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My soul sisters...and Jake (from <strong>State Farm</strong>)! <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""👭"" aria-label=""Emoji: Women holding hands"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f46d.png"" title=""Women holding hands""/><img alt=""👀"" aria-label=""Emoji: Eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f440.png"" title=""Eyes""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cohort19?src=hash""><s>#</s><b>cohort19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/stmarys?src=hash""><s>#</s><b>stmarys</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BDbdTPnPuo73bgvpuMokVHLl0P5Zf8gvcu3S500/"" dir=""ltr"" href=""https://t.co/hjfBXXWtjN"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BDbdTPnPuo73bgvpuMokVHLl0P5Zf8gvcu3S500/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BDbdTPnPuo73</span><span class=""invisible"">bgvpuMokVHLl0P5Zf8gvcu3S500/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.instagram.com/p/BDbdTPnPuo73bgvpuMokVHLl0P5Zf8gvcu3S500/']";"['cohort19', 'stmarys']";False;"[]";"";0;0;0;False;False;"";"[]"
"DaeJohn_Anthony";"Anthony J Gilliam";"224973030";"697274246939017216";"/DaeJohn_Anthony/status/697274246939017216";"2016-02-10 04:21:49";1455078109;"Like A Good Neighbor

#Gay #Funny #BooBoo #StateFarm
#Guy #Sexy @ Moscone Center https://www.instagram.com/p/BBl5eZ6s23C/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Like A Good Neighbor

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Gay?src=hash""><s>#</s><b>Gay</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Funny?src=hash""><s>#</s><b>Funny</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BooBoo?src=hash""><s>#</s><b>BooBoo</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StateFarm?src=hash""><s>#</s><b><strong>StateFarm</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guy?src=hash""><s>#</s><b>Guy</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sexy?src=hash""><s>#</s><b>Sexy</b></a> @ Moscone Center <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BBl5eZ6s23C/"" dir=""ltr"" href=""https://t.co/K6hA5pI3HP"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BBl5eZ6s23C/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BBl5eZ6s23C/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://www.instagram.com/p/BBl5eZ6s23C/']";"['Gay', 'Funny', 'BooBoo', 'StateFarm', 'Guy', 'Sexy']";False;"[]";"";0;0;0;False;False;"";"[]"
"RamiNajjar20";"Rami Najjar";"493735493";"660935875933675521";"/RamiNajjar20/status/660935875933675521";"2015-11-01 21:46:07";1446414367;"Gym Douche needed an insurance quote. Thanks Jake, from State Farm.

#khakis #halloweekend @ The… https://instagram.com/p/9jss6CGxfW/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Gym Douche needed an insurance quote. Thanks Jake, from <strong>State Farm</strong>.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/khakis?src=hash""><s>#</s><b>khakis</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/halloweekend?src=hash""><s>#</s><b>halloweekend</b></a> @ The… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/9jss6CGxfW/"" dir=""ltr"" href=""https://t.co/WUZ2ka0WNy"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/9jss6CGxfW/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/9jss6CGxfW/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/9jss6CGxfW/']";"['khakis', 'halloweekend']";False;"[]";"";1;0;0;False;False;"";"[]"
"RamiNajjar20";"Rami Najjar";"493735493";"660935875933675521";"/RamiNajjar20/status/660935875933675521";"2015-11-01 21:46:07";1446414367;"Gym Douche needed an insurance quote. Thanks Jake, from State Farm.

#khakis #halloweekend @ The… https://instagram.com/p/9jss6CGxfW/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Gym Douche needed an insurance quote. Thanks Jake, from <strong>State Farm</strong>.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/khakis?src=hash""><s>#</s><b>khakis</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/halloweekend?src=hash""><s>#</s><b>halloweekend</b></a> @ The… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/9jss6CGxfW/"" dir=""ltr"" href=""https://t.co/WUZ2ka0WNy"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/9jss6CGxfW/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/9jss6CGxfW/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/9jss6CGxfW/']";"['khakis', 'halloweekend']";False;"[]";"";1;0;0;False;False;"";"[]"
"ChicaNFL";"Cyn Zenteno";"557211716";"566818851824742400";"/ChicaNFL/status/566818851824742400";"2015-02-15 04:38:39";1423975119;"Now watching: #NeighborhoodSessions @StateFarm @JLo ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Now watching: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NeighborhoodSessions?src=hash""><s>#</s><b>NeighborhoodSessions</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""85603854"" dir=""ltr"" href=""/JLo""><s>@</s><b>JLo</b></a> <img alt=""😍"" aria-label=""Emoji: Smiling face with heart-shaped eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60d.png"" title=""Smiling face with heart-shaped eyes""/></p>";"[]";"['NeighborhoodSessions']";False;"[]";"";0;0;0;False;False;"";"[]"
"billykid";"Will I Am (a Hoya)";"8323522";"566807516315537408";"/billykid/status/566807516315537408";"2015-02-15 03:53:37";1423972417;"@darrenrovell yeah but needs to fire his agent over @StateFarm terrible, cheesy lame assists commercials and ""live interview"" w/ ""brother""";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""24277551"" dir=""ltr"" href=""/darrenrovell""><s>@</s><b>darrenrovell</b></a> yeah but needs to fire his agent over <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> terrible, cheesy lame assists commercials and ""live interview"" w/ ""brother""</p>";"[]";"[]";False;"[]";"";1;0;0;False;True;"566795263579537408";"[{'screen_name': 'darrenrovell', 'user_id': '24277551'}]"
"billykid";"Will I Am (a Hoya)";"8323522";"566806770660560896";"/billykid/status/566806770660560896";"2015-02-15 03:50:39";1423972239;"Sorry, but the @StateFarm assist thing at #NBA all star weekend is so lame and cheesy - hope the players got mad $$$ for the embarrassment";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sorry, but the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> assist thing at <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NBA?src=hash""><s>#</s><b>NBA</b></a><a dir=""ltr"" href=""/hashtag/NBA?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/NBATeam20192020Season_Emojis_NBA/NBATeam20192020Season_Emojis_NBA.png""/></a></span> all star weekend is so lame and cheesy - hope the players got mad $$$ for the embarrassment</p>";"[]";"['NBA']";False;"[]";"";0;0;0;False;False;"";"[]"
"JJMaples55_MST";"Jason Maples";"345158690";"566797229944344576";"/JJMaples55_MST/status/566797229944344576";"2015-02-15 03:12:44";1423969964;"State farm trying too hard now";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>State farm</strong> trying too hard now</p>";"[]";"[]";False;"[]";"";1;1;0;False;False;"";"[]"
"naaajx";"‏المختار 🦅";"448509224";"560596425864511494";"/naaajx/status/560596425864511494";"2015-01-29 00:32:57";1422491577;"“@DaeALLindaMOUTH: @naaajx what the hell where???”lol State Farm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""173305941"" dir=""ltr"" href=""/DaeALLindaMOUTH""><s>@</s><b>DaeALLindaMOUTH</b></a>: <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""448509224"" dir=""ltr"" href=""/naaajx""><s>@</s><b>naaajx</b></a> what the hell where???”lol <strong>State Farm</strong></p>";"[]";"[]";False;"[]";"";0;0;1;True;True;"560588715265761281";"[{'screen_name': 'DaeALLindaMOUTH', 'user_id': '173305941'}]"
"Steffan1";"Steffan Postaer";"18988212";"554379409541431296";"/Steffan1/status/554379409541431296";"2015-01-11 20:48:45";1421009325;"Rogers scores TD and first TVC after @StateFarm hooks up w Rogers #doublecheck commercial.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Rogers scores TD and first TVC after <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> hooks up w Rogers <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/doublecheck?src=hash""><s>#</s><b>doublecheck</b></a> commercial.</p>";"[]";"['doublecheck']";False;"[]";"";0;0;0;False;False;"";"[]"
